Function,Configuration,Run,Fitness
cross_in_tray,binary_1-point,1,-2.0612187398894863
cross_in_tray,binary_1-point,2,-2.0617846759524334
cross_in_tray,binary_1-point,3,-2.060023122213542
cross_in_tray,binary_1-point,4,-2.0466101861805734
cross_in_tray,binary_1-point,5,-2.056730722545266
cross_in_tray,binary_1-point,6,-2.0504389261959717
cross_in_tray,binary_1-point,7,-2.0620683377223012
cross_in_tray,binary_1-point,8,-2.058593523410872
cross_in_tray,binary_1-point,9,-2.0581690604737215
cross_in_tray,binary_1-point,10,-2.0582018805804827
cross_in_tray,binary_1-point,11,-2.061966774597774
cross_in_tray,binary_1-point,12,-2.058148123132637
cross_in_tray,binary_1-point,13,-2.0623010935279
cross_in_tray,binary_1-point,14,-2.0599148243121714
cross_in_tray,binary_1-point,15,-2.0573595398492532
cross_in_tray,binary_1-point,16,-2.0606835734773323
cross_in_tray,binary_1-point,17,-2.0571216309457645
cross_in_tray,binary_1-point,18,-2.055886584740647
cross_in_tray,binary_1-point,19,-2.059446211219603
cross_in_tray,binary_1-point,20,-2.0555294178854413
cross_in_tray,binary_1-point,21,-2.060986710764417
cross_in_tray,binary_1-point,22,-2.058731972365287
cross_in_tray,binary_1-point,23,-2.060821717766228
cross_in_tray,binary_1-point,24,-2.0561824595580482
cross_in_tray,binary_1-point,25,-2.060386725744629
cross_in_tray,binary_1-point,26,-2.0605619790308847
cross_in_tray,binary_1-point,27,-2.06153784598052
cross_in_tray,binary_1-point,28,-2.0600128941559936
cross_in_tray,binary_1-point,29,-2.0619420957387757
cross_in_tray,binary_1-point,30,-2.0624033926980774
cross_in_tray,binary_2-point,1,-2.060968446575003
cross_in_tray,binary_2-point,2,-2.0624444270688653
cross_in_tray,binary_2-point,3,-2.052321123087594
cross_in_tray,binary_2-point,4,-2.0625282447203244
cross_in_tray,binary_2-point,5,-2.0590084715210875
cross_in_tray,binary_2-point,6,-2.060524705356361
cross_in_tray,binary_2-point,7,-2.054758103307136
cross_in_tray,binary_2-point,8,-2.0558282155133294
cross_in_tray,binary_2-point,9,-2.060744740004447
cross_in_tray,binary_2-point,10,-2.0570355021996685
cross_in_tray,binary_2-point,11,-2.0623849207620415
cross_in_tray,binary_2-point,12,-2.0548732018415783
cross_in_tray,binary_2-point,13,-2.060114509392702
cross_in_tray,binary_2-point,14,-2.044703761923799
cross_in_tray,binary_2-point,15,-2.0618034451742284
cross_in_tray,binary_2-point,16,-2.0573892180716724
cross_in_tray,binary_2-point,17,-2.0622663537999935
cross_in_tray,binary_2-point,18,-2.0610084976951146
cross_in_tray,binary_2-point,19,-2.0600591906460113
cross_in_tray,binary_2-point,20,-2.058037627913342
cross_in_tray,binary_2-point,21,-2.050749843736387
cross_in_tray,binary_2-point,22,-2.061772174684613
cross_in_tray,binary_2-point,23,-2.0580875524747944
cross_in_tray,binary_2-point,24,-2.0548009386312587
cross_in_tray,binary_2-point,25,-2.05763292034047
cross_in_tray,binary_2-point,26,-2.055660812420076
cross_in_tray,binary_2-point,27,-2.061568814112065
cross_in_tray,binary_2-point,28,-2.0503713118613507
cross_in_tray,binary_2-point,29,-2.058191448253317
cross_in_tray,binary_2-point,30,-2.053454217351459
cross_in_tray,real_arithmetic,1,-2.0626118705062537
cross_in_tray,real_arithmetic,2,-2.0626117412761387
cross_in_tray,real_arithmetic,3,-2.062611864855278
cross_in_tray,real_arithmetic,4,-2.0626117100210943
cross_in_tray,real_arithmetic,5,-2.062611814572521
