Function,Configuration,Run,Fitness
eggholder,binary_1-point,1,-887.2747218812885
eggholder,binary_1-point,2,-887.9848930549441
eggholder,binary_1-point,3,-728.9454882643065
eggholder,binary_1-point,4,-885.9766859974009
eggholder,binary_1-point,5,-915.5851792459634
eggholder,binary_1-point,6,-752.6701484462617
eggholder,binary_1-point,7,-871.8413949030909
eggholder,binary_1-point,8,-858.6285626367492
eggholder,binary_1-point,9,-887.6466608180618
eggholder,binary_1-point,10,-778.2952038427591
eggholder,binary_1-point,11,-896.8393125939335
eggholder,binary_1-point,12,-836.8012858536426
eggholder,binary_1-point,13,-858.7458885141323
eggholder,binary_1-point,14,-874.8099795322933
eggholder,binary_1-point,15,-880.8658638081314
eggholder,binary_1-point,16,-930.9717889807991
eggholder,binary_1-point,17,-857.1682394180662
eggholder,binary_1-point,18,-880.3038985632538
eggholder,binary_1-point,19,-852.494909827907
eggholder,binary_1-point,20,-883.6896624234473
eggholder,binary_1-point,21,-879.1969081597483
eggholder,binary_1-point,22,-687.5115590661619
eggholder,binary_1-point,23,-867.2655265902551
eggholder,binary_1-point,24,-906.4802893335684
eggholder,binary_1-point,25,-839.5484406311434
eggholder,binary_1-point,26,-887.33246227217
eggholder,binary_1-point,27,-871.4984020332502
eggholder,binary_1-point,28,-883.148391464023
eggholder,binary_1-point,29,-934.2089591843778
eggholder,binary_1-point,30,-874.7165120485213
eggholder,binary_2-point,1,-880.3160045847126
eggholder,binary_2-point,2,-717.5841587772697
eggholder,binary_2-point,3,-876.1937532404381
eggholder,binary_2-point,4,-886.9534830289972
eggholder,binary_2-point,5,-932.4462645189946
eggholder,binary_2-point,6,-936.7070523474433
eggholder,binary_2-point,7,-883.2524537981155
eggholder,binary_2-point,8,-845.5443091225923
eggholder,binary_2-point,9,-890.869123521333
eggholder,binary_2-point,10,-876.4534777751962
eggholder,binary_2-point,11,-873.7624693281286
eggholder,binary_2-point,12,-801.416542191696
eggholder,binary_2-point,13,-927.122023717254
eggholder,binary_2-point,14,-865.4698984365259
eggholder,binary_2-point,15,-807.8671865334127
eggholder,binary_2-point,16,-644.9883872687057
eggholder,binary_2-point,17,-865.8314056921988
eggholder,binary_2-point,18,-840.1612559755472
eggholder,binary_2-point,19,-748.2262175612028
eggholder,binary_2-point,20,-716.8284245318491
eggholder,binary_2-point,21,-877.1725394813874
eggholder,binary_2-point,22,-781.7932779057409
eggholder,binary_2-point,23,-878.9251604011768
eggholder,binary_2-point,24,-837.9789344206365
eggholder,binary_2-point,25,-834.8293683797176
eggholder,binary_2-point,26,-802.9081759285395
eggholder,binary_2-point,27,-884.2184723346668
eggholder,binary_2-point,28,-935.6285637301496
eggholder,binary_2-point,29,-888.7770840834457
eggholder,binary_2-point,30,-918.0296648940575
eggholder,real_arithmetic,1,-505.99939401939986
eggholder,real_arithmetic,2,-557.336158584291
eggholder,real_arithmetic,3,-565.9977809710119
eggholder,real_arithmetic,4,-718.1674545276854
eggholder,real_arithmetic,5,-953.5727535433639
eggholder,real_arithmetic,6,-716.595666865888
eggholder,real_arithmetic,7,-718.16745942489
eggholder,real_arithmetic,8,-888.9473297222908
eggholder,real_arithmetic,9,-821.1963813808444
eggholder,real_arithmetic,10,-894.5775320274591
eggholder,real_arithmetic,11,-715.9787169589769
eggholder,real_arithmetic,12,-426.48750159256593
eggholder,real_arithmetic,13,-786.5253719699538
eggholder,real_arithmetic,14,-894.567248037418
eggholder,real_arithmetic,15,-565.9777855652394
eggholder,real_arithmetic,16,-735.776142480469
eggholder,real_arithmetic,17,-559.7840864541275
eggholder,real_arithmetic,18,-565.9883565993051
eggholder,real_arithmetic,19,-718.1650193750372
eggholder,real_arithmetic,20,-716.6689611865977
eggholder,real_arithmetic,21,-821.1964610663144
eggholder,real_arithmetic,22,-887.8474729642434
eggholder,real_arithmetic,23,-426.48701667644303
eggholder,real_arithmetic,24,-888.9490644130302
eggholder,real_arithmetic,25,-821.1964610663144
eggholder,real_arithmetic,26,-558.460669751714
eggholder,real_arithmetic,27,-565.8301780669462
eggholder,real_arithmetic,28,-615.1544868064901
eggholder,real_arithmetic,29,-716.622317296592
eggholder,real_arithmetic,30,-716.0288304798763
eggholder,real_blx-alpha,1,-565.9977809710122
eggholder,real_blx-alpha,2,-716.6715003419415
eggholder,real_blx-alpha,3,-704.8056729923935
eggholder,real_blx-alpha,4,-931.9971274808742
eggholder,real_blx-alpha,5,-894.5789003905999
eggholder,real_blx-alpha,6,-934.9619094662821
eggholder,real_blx-alpha,7,-821.1964610663144
eggholder,real_blx-alpha,8,-894.5788765510657
eggholder,real_blx-alpha,9,-894.5789003906
eggholder,real_blx-alpha,10,-821.1964610663144
eggholder,real_blx-alpha,11,-753.0496647736954
eggholder,real_blx-alpha,12,-894.5789003906
eggholder,real_blx-alpha,13,-718.1674596221537
eggholder,real_blx-alpha,14,-565.997780970803
eggholder,real_blx-alpha,15,-894.5789003906
eggholder,real_blx-alpha,16,-565.9977809710122
eggholder,real_blx-alpha,17,-565.9977809628601
eggholder,real_blx-alpha,18,-716.6715003419401
eggholder,real_blx-alpha,19,-718.167022600778
eggholder,real_blx-alpha,20,-821.1964610622258
eggholder,real_blx-alpha,21,-718.1674596221537
eggholder,real_blx-alpha,22,-894.5789003906001
eggholder,real_blx-alpha,23,-704.8057764321197
eggholder,real_blx-alpha,24,-888.9491125805059
eggholder,real_blx-alpha,25,-704.8065959162177
eggholder,real_blx-alpha,26,-894.5781858133274
eggholder,real_blx-alpha,27,-718.1674543932329
eggholder,real_blx-alpha,28,-894.5789003905475
eggholder,real_blx-alpha,29,-821.1964610663144
eggholder,real_blx-alpha,30,-565.997780971012
