id,symbol,parent,sibling,kind
0,program,-1,-1,nonterminal
1,statement_list,0,-1,nonterminal
2,statement,1,3,nonterminal
3,statement_list_tail,1,-1,nonterminal
4,declaration_statement,2,-1,nonterminal
5,type,4,6,nonterminal
6,identifier,4,7,terminal
7,declaration_tail,4,-1,nonterminal
8,float,5,-1,terminal
9,;,7,-1,terminal
10,statement,3,11,nonterminal
11,statement_list_tail,3,-1,nonterminal
12,io_statement,10,-1,nonterminal
13,read,12,14,terminal
14,(,12,15,terminal
15,identifier,12,16,terminal
16,),12,17,terminal
17,;,12,-1,terminal
18,statement,11,19,nonterminal
19,statement_list_tail,11,-1,nonterminal
20,declaration_statement,18,-1,nonterminal
21,type,20,22,nonterminal
22,identifier,20,23,terminal
23,declaration_tail,20,-1,nonterminal
24,float,21,-1,terminal
25,;,23,-1,terminal
26,statement,19,27,nonterminal
27,statement_list_tail,19,-1,nonterminal
28,io_statement,26,-1,nonterminal
29,read,28,30,terminal
30,(,28,31,terminal
31,identifier,28,32,terminal
32,),28,33,terminal
33,;,28,-1,terminal
34,statement,27,35,nonterminal
35,statement_list_tail,27,-1,nonterminal
36,io_statement,34,-1,nonterminal
37,write,36,38,terminal
38,(,36,39,terminal
39,expression,36,40,nonterminal
40,),36,41,terminal
41,;,36,-1,terminal
42,term,39,43,nonterminal
43,expression_tail,39,-1,nonterminal
44,factor,42,45,nonterminal
45,term_tail,42,-1,nonterminal
46,string_const,44,-1,terminal
47,statement,35,48,nonterminal
48,statement_list_tail,35,-1,nonterminal
49,io_statement,47,-1,nonterminal
50,write,49,51,terminal
51,(,49,52,terminal
52,expression,49,53,nonterminal
53,),49,54,terminal
54,;,49,-1,terminal
55,term,52,56,nonterminal
56,expression_tail,52,-1,nonterminal
57,factor,55,58,nonterminal
58,term_tail,55,-1,nonterminal
59,pythagoras,57,60,terminal
60,(,57,61,terminal
61,expression,57,62,nonterminal
62,,,57,63,terminal
63,expression,57,64,nonterminal
64,),57,-1,terminal
65,term,61,66,nonterminal
66,expression_tail,61,-1,nonterminal
67,factor,65,68,nonterminal
68,term_tail,65,-1,nonterminal
69,identifier,67,-1,terminal
70,term,63,71,nonterminal
71,expression_tail,63,-1,nonterminal
72,factor,70,73,nonterminal
73,term_tail,70,-1,nonterminal
74,identifier,72,-1,terminal
75,statement,48,76,nonterminal
76,statement_list_tail,48,-1,nonterminal
77,io_statement,75,-1,nonterminal
78,write,77,79,terminal
79,(,77,80,terminal
80,expression,77,81,nonterminal
81,),77,82,terminal
82,;,77,-1,terminal
83,term,80,84,nonterminal
84,expression_tail,80,-1,nonterminal
85,factor,83,86,nonterminal
86,term_tail,83,-1,nonterminal
87,string_const,85,-1,terminal
88,statement,76,89,nonterminal
89,statement_list_tail,76,-1,nonterminal
90,io_statement,88,-1,nonterminal
91,write,90,92,terminal
92,(,90,93,terminal
93,expression,90,94,nonterminal
94,),90,95,terminal
95,;,90,-1,terminal
96,term,93,97,nonterminal
97,expression_tail,93,-1,nonterminal
98,factor,96,99,nonterminal
99,term_tail,96,-1,nonterminal
100,area_triangle,98,101,terminal
101,(,98,102,terminal
102,expression,98,103,nonterminal
103,,,98,104,terminal
104,expression,98,105,nonterminal
105,),98,-1,terminal
106,term,102,107,nonterminal
107,expression_tail,102,-1,nonterminal
108,factor,106,109,nonterminal
109,term_tail,106,-1,nonterminal
110,identifier,108,-1,terminal
111,term,104,112,nonterminal
112,expression_tail,104,-1,nonterminal
113,factor,111,114,nonterminal
114,term_tail,111,-1,nonterminal
115,identifier,113,-1,terminal
